ID,Timestamp,State
1,2024-10-29 17:45:57.194,Closed
2,2024-10-29 17:45:57.443,Closed
3,2024-10-29 17:45:57.617,Closed
4,2024-10-29 17:45:57.780,Closed
5,2024-10-29 17:45:57.958,Closed
6,2024-10-29 17:45:58.148,Closed
7,2024-10-29 17:45:58.344,Closed
8,2024-10-29 17:45:58.514,Closed
9,2024-10-29 17:46:00.410,Open
10,2024-10-29 17:46:00.592,Open
11,2024-10-29 17:46:00.783,Open
12,2024-10-29 17:46:00.953,Open
13,2024-10-29 17:46:01.107,Open
14,2024-10-29 17:46:01.266,Open
15,2024-10-29 17:46:01.440,Open
16,2024-10-29 17:46:01.618,Open
17,2024-10-29 17:46:03.314,Closed
18,2024-10-29 17:46:03.476,Closed
19,2024-10-29 17:46:03.631,Closed
20,2024-10-29 17:46:03.783,Closed
21,2024-10-29 17:46:03.929,Closed
22,2024-10-29 17:46:04.071,Closed
23,2024-10-29 17:46:04.221,Closed
24,2024-10-29 17:46:04.364,Closed
25,2024-10-29 17:46:05.922,Open
26,2024-10-29 17:46:06.085,Open
27,2024-10-29 17:46:06.235,Open
28,2024-10-29 17:46:06.393,Open
29,2024-10-29 17:46:06.542,Open
30,2024-10-29 17:46:06.686,Open
31,2024-10-29 17:46:06.833,Open
32,2024-10-29 17:46:06.977,Open
33,2024-10-29 17:46:08.544,Open
34,2024-10-29 17:46:08.705,Open
35,2024-10-29 17:46:08.858,Open
36,2024-10-29 17:46:09.007,Open
37,2024-10-29 17:46:09.154,Open
38,2024-10-29 17:46:09.301,Open
39,2024-10-29 17:46:09.453,Open
40,2024-10-29 17:46:09.600,Open
41,2024-10-29 17:46:11.159,Open
42,2024-10-29 17:46:11.319,Open
43,2024-10-29 17:46:11.473,Open
44,2024-10-29 17:46:11.624,Open
45,2024-10-29 17:46:11.775,Open
46,2024-10-29 17:46:11.924,Open
47,2024-10-29 17:46:12.073,Open
48,2024-10-29 17:46:12.221,Open
49,2024-10-29 17:46:13.783,Closed
50,2024-10-29 17:46:13.947,Closed
51,2024-10-29 17:46:14.099,Closed
52,2024-10-29 17:46:14.248,Closed
53,2024-10-29 17:46:14.397,Closed
54,2024-10-29 17:46:14.543,Closed
55,2024-10-29 17:46:14.696,Closed
56,2024-10-29 17:46:14.849,Closed
57,2024-10-29 17:46:16.554,Closed
58,2024-10-29 17:46:16.720,Closed
59,2024-10-29 17:46:16.869,Closed
60,2024-10-29 17:46:17.019,Closed
61,2024-10-29 17:46:17.163,Closed
62,2024-10-29 17:46:17.310,Closed
63,2024-10-29 17:46:17.463,Closed
64,2024-10-29 17:46:17.608,Closed
65,2024-10-29 17:46:19.180,Closed
66,2024-10-29 17:46:19.343,Closed
67,2024-10-29 17:46:19.494,Closed
68,2024-10-29 17:46:19.638,Closed
69,2024-10-29 17:46:19.785,Closed
70,2024-10-29 17:46:19.930,Closed
71,2024-10-29 17:46:20.076,Closed
72,2024-10-29 17:46:20.222,Closed
73,2024-10-29 17:46:21.999,Closed
74,2024-10-29 17:46:22.161,Closed
75,2024-10-29 17:46:22.308,Closed
76,2024-10-29 17:46:22.452,Closed
77,2024-10-29 17:46:22.597,Closed
78,2024-10-29 17:46:22.773,Closed
79,2024-10-29 17:46:22.946,Closed
80,2024-10-29 17:46:23.123,Closed
81,2024-10-29 17:46:24.698,Open
82,2024-10-29 17:46:24.867,Open
83,2024-10-29 17:46:25.023,Open
84,2024-10-29 17:46:25.169,Open
85,2024-10-29 17:46:25.317,Open
86,2024-10-29 17:46:25.465,Open
87,2024-10-29 17:46:25.617,Open
88,2024-10-29 17:46:25.768,Open
89,2024-10-29 17:46:28.064,Open
90,2024-10-29 17:46:28.232,Open
91,2024-10-29 17:46:28.399,Open
92,2024-10-29 17:46:28.552,Open
93,2024-10-29 17:46:28.700,Open
94,2024-10-29 17:46:28.849,Open
95,2024-10-29 17:46:29.000,Open
96,2024-10-29 17:46:29.157,Open
97,2024-10-29 17:46:30.857,Closed
98,2024-10-29 17:46:31.052,Closed
99,2024-10-29 17:46:31.233,Closed
100,2024-10-29 17:46:31.400,Closed
101,2024-10-29 17:46:31.566,Closed
102,2024-10-29 17:46:31.723,Closed
103,2024-10-29 17:46:31.879,Closed
104,2024-10-29 17:46:32.043,Closed
105,2024-10-29 17:46:33.980,Closed
106,2024-10-29 17:46:34.155,Closed
107,2024-10-29 17:46:34.325,Closed
108,2024-10-29 17:46:34.479,Closed
109,2024-10-29 17:46:34.628,Closed
110,2024-10-29 17:46:34.795,Closed
111,2024-10-29 17:46:34.946,Closed
112,2024-10-29 17:46:35.127,Closed
113,2024-10-29 17:46:36.948,Open
114,2024-10-29 17:46:37.125,Open
115,2024-10-29 17:46:37.291,Open
116,2024-10-29 17:46:37.456,Open
117,2024-10-29 17:46:37.622,Open
118,2024-10-29 17:46:37.792,Open
119,2024-10-29 17:46:37.957,Open
120,2024-10-29 17:46:38.133,Open
121,2024-10-29 17:46:41.033,Open
